Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Logan O'Hoppe",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1445,0.2236842105263158,0.40350877192982454,0.37280701754385964,0.21176470588235294,0.17647058823529413,950,495,1445,-2.2169637962214535,3.8913291648304495,8.425109473356402,"Logan O'Hoppe","24729",681351
"Connor Norby",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",827,0.2360248447204969,0.39751552795031053,0.36645962732919257,0.13559322033898305,0.1016949152542373,560,267,827,-2.7203899895284156,4.1424688840145105,8.358732935912938,"Connor Norby","29592",681393
"Royce Lewis",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1060,0.2318840579710145,0.34782608695652173,0.42028985507246375,0.2413793103448276,0.10344827586206896,719,341,1060,-2.6053911209999994,4.430938004386792,8.524374666981132,"Royce Lewis","20437",668904
"Zach McKinstry",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1589,0.29770992366412213,0.36259541984732824,0.33969465648854963,0.16853932584269662,0.12359550561797752,1013,576,1589,-3.298453236047829,4.408643723045941,8.789964980868476,"Zach McKinstry","19392",656716
"Seiya Suzuki",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1917,0.2408026755852843,0.33444816053511706,0.42474916387959866,0.1968503937007874,0.1732283464566929,1195,722,1917,-1.8872208822034422,3.870171194642672,7.993474740740743,"Seiya Suzuki","30116",673548
"Lars Nootbaar",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1663,0.275,0.34285714285714286,0.3821428571428571,0.2616822429906542,0.09345794392523364,1006,657,1663,-3.8708266873301267,4.103923565874923,8.85565666987372,"Lars Nootbaar","21454",663457
"Trevor Story",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",1831,0.2082018927444795,0.42586750788643535,0.3659305993690852,0.2413793103448276,0.15517241379310345,1242,589,1831,-2.4505003366848737,4.364602275772256,8.720379731840524,"Trevor Story","12564",596115
"Liam Hicks",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",1293,0.2966101694915254,0.4449152542372881,0.2584745762711864,0.13114754098360656,0.09836065573770492,778,515,1293,-3.067786667238979,4.120778610595512,8.678091542150042,"Liam Hicks","29844",689414
"Matt Wallner",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1182,0.19230769230769232,0.32051282051282054,0.48717948717948717,0.25,0.23684210526315788,727,455,1182,-3.1956876009306248,4.388448044710658,8.814035877326567,"Matt Wallner","26466",670242
"Spencer Horwitz",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1473,0.2720306513409962,0.367816091954023,0.36015325670498083,0.20212765957446807,0.10638297872340426,913,560,1473,-3.0504318174541742,4.573974942634079,8.496377722335371,"Spencer Horwitz","26477",687462
"Joey Bart",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1004,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.125,0.03125,589,415,1004,-2.3955397518027883,4.172903631673306,8.227738407370518,"Joey Bart","21524",663698
"Wilmer Flores",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1313,0.26146788990825687,0.3532110091743119,0.3853211009174312,0.2857142857142857,0.11904761904761904,874,439,1313,-2.2515661961005335,4.338909894805791,8.372102759329778,"Wilmer Flores","5827",527038
"Julio Rodríguez",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1840,0.20810810810810812,0.4864864864864865,0.3054054054054054,0.18584070796460178,0.19469026548672566,1246,594,1840,-2.3940195654619565,4.098344109255434,8.330842741304341,"Julio Rodriguez","23697",677594
"Chandler Simpson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1126,0.29304029304029305,0.5714285714285714,0.13553113553113552,0.24324324324324326,0,770,356,1126,-3.759326953996449,4.543828973001775,9.14927813765542,"Chandler Simpson","31912",802415
"Maikel Garcia",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1973,0.27884615384615385,0.4375,0.28365384615384615,0.23728813559322035,0.11016949152542373,1225,748,1973,-2.513665120897112,4.259211751753674,8.236049261226562,"Maikel Garcia","22715",672580
"Jo Adell",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1800,0.2376237623762376,0.3696369636963696,0.3927392739273927,0.226890756302521,0.25210084033613445,1182,618,1800,-2.3582489835816656,3.990539003716667,8.561494003333335,"Jo Adell","20220",666176
