Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
Dylan DreilingNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,2461,1883,0%,-/-,-,-,-,-,-,
"Carson DeMartiniNANo new player Notes PHI - 3B,SS Bot 3, 0-2 vs TB",TB,,FA,-,2134,1884,0%,-/-,-,-,-,-,-,
"Griffin BurkholderNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2183,1885,0%,-/-,-,-,-,-,-,
"Ty SouthiseneNANo new player Notes TOR - 2B Top 2, 2-0 vs CIN",CIN,,FA,-,2463,1886,0%,-/-,-,-,-,-,-,
"Cooper BowmanNANo new player Notes TB - 1B,2B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2448,1887,0%,-/-,-,-,-,-,-,
"Austin OvernNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2049,1888,0%,-/-,-,-,-,-,-,
"Jon BertiNANo new player Notes TOR - 2B,3B Top 2, 2-0 vs CIN",CIN,,FA,-,1910,1889,0%,-/-,-,-,-,-,-,
"William BergollaNANo new player Notes CWS - 2B,SS 7:40 pm vs COL",COL,,FA,-,2476,1890,0%,-/-,-,-,-,-,-,
JD DixNANo new player Notes AZ - 2B 9:40 pm @ SD,@ SD,,FA,-,2129,1891,0%,-/-,-,-,-,-,-,
"Cole MathisNANo new player Notes NYM - 3B Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2237,1892,0%,-/-,-,-,-,-,-,
"Jared JonesNANo new player Notes PIT - 1B Top 2, 0-0 @ DET",@ DET,,FA,-,2019,1893,0%,-/-,-,-,-,-,-,
"Caleb RickettsNANo new player Notes PHI - C Bot 3, 0-2 vs TB",TB,,FA,-,2187,1894,0%,-/-,-,-,-,-,-,
"Termarr JohnsonNANo new player Notes PIT - 2B Top 2, 0-0 @ DET",@ DET,,FA,-,2407,1895,0%,-/-,-,-,-,-,-,
"Kale FountainNANo new player Notes SD - 1B,3B 9:40 pm vs AZ",AZ,,FA,-,2040,1896,0%,-/-,-,-,-,-,-,
Chase HarlanNANo new player Notes LAD - 3B 10:15 pm @ SF,@ SF,,FA,-,2114,1897,0%,-/-,-,-,-,-,-,
"Shalin PolancoNANo new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,-,2353,1898,0%,-/-,-,-,-,-,-,
"John SpikermanNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2132,1899,0%,-/-,-,-,-,-,-,
Casey SauckeNANo new player Notes CWS - Util 7:40 pm vs COL,COL,,FA,-,2170,1900,0%,-/-,-,-,-,-,-,
"Robert HipwellNANo new player Notes SF - 1B,3B 10:15 pm vs LAD",LAD,,FA,-,2058,1901,0%,-/-,-,-,-,-,-,
Cole MessinaNANo new player Notes COL - C 7:40 pm @ CWS,@ CWS,,FA,-,2011,1902,0%,-/-,-,-,-,-,-,
"Lamar King Jr.NANo new player Notes SD - C,1B 9:40 pm vs AZ",AZ,,FA,-,2107,1903,0%,-/-,-,-,-,-,-,
Victor LabradaNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2048,1904,0%,-/-,-,-,-,-,-,
"Luke DickersonNANo new player Notes WSH - 2B,SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2250,1905,0%,-/-,-,-,-,-,-,
Nick McLainNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2413,1906,0%,-/-,-,-,-,-,-,
"Jonathan MejiaNANo new player Notes STL - 2B,SS 7:40 pm @ MIL",@ MIL,,FA,-,2222,1907,0%,-/-,-,-,-,-,-,
"Khadim DiawNANo new player Notes MIN - C,OF 8:10 pm vs TEX",TEX,,FA,-,2146,1908,0%,-/-,-,-,-,-,-,
Won-Bin ChoNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2261,1909,0%,-/-,-,-,-,-,-,
"Casey CookNANo new player Notes TEX - 2B,SS 8:10 pm @ MIN",@ MIN,,FA,-,2164,1910,0%,-/-,-,-,-,-,-,
Josh CaronNANo new player Notes SEA - C 10:10 pm vs LAA,LAA,,FA,-,2496,1911,0%,-/-,-,-,-,-,-,
Ryan CamposNANo new player Notes STL - C 7:40 pm @ MIL,@ MIL,,FA,-,2206,1912,0%,-/-,-,-,-,-,-,
"Xavier IsaacNANo new player Notes TB - Util Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2065,1913,0%,-/-,-,-,-,-,-,
"Émilien PitreNANo new player Notes NYM - 2B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2340,1914,0%,-/-,-,-,-,-,-,
"Dom KeeganNANo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2414,1915,0%,-/-,-,-,-,-,-,
"Drew WatersNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,1880,1916,0%,-/-,-,-,-,-,-,
Anthony GutierrezNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,2190,1917,0%,-/-,-,-,-,-,-,
"Nick MontgomeryNANo new player Notes ATL - C Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2307,1918,0%,-/-,-,-,-,-,-,
"Triston CasasIL60No new player Notes BOS - 1B W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,1972,1919,1%,-/-,-,-,-,-,-,
Gleider FiguereoNANo new player Notes TEX - 3B 8:10 pm @ MIN,@ MIN,,FA,-,2243,1920,0%,-/-,-,-,-,-,-,
"Carter MathisonNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2020,1921,0%,-/-,-,-,-,-,-,
"Sam PetersenNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2359,1922,0%,-/-,-,-,-,-,-,
"Josh KasevichNANo new player Notes TOR - 3B,SS Top 2, 2-0 vs CIN",CIN,,FA,-,2374,1923,0%,-/-,-,-,-,-,-,
"Jakob ChristianNANo new player Notes SF - 1B,OF 10:15 pm vs LAD",LAD,,FA,-,2486,1924,0%,-/-,-,-,-,-,-,
"Devin Fitz-GeraldNANo new player Notes WSH - Util Bot 2, 2-1 vs NYM",NYM,,FA,-,2087,1925,0%,-/-,-,-,-,-,-,
Ivan LucianoNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,-,2297,1926,0%,-/-,-,-,-,-,-,
Zach EhrhardNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2192,1927,0%,-/-,-,-,-,-,-,
Bobby BoserNANo new player Notes ATH - SS 9:40 pm vs HOU,HOU,,FA,-,2441,1928,0%,-/-,-,-,-,-,-,
"Nathan FlewellingNANo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2333,1929,0%,-/-,-,-,-,-,-,
"Payton HenryNANo new player Notes PHI - C Bot 3, 0-2 vs TB",TB,,FA,-,2312,1930,0%,-/-,-,-,-,-,-,
"Fenwick TrimbleNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2435,1931,0%,-/-,-,-,-,-,-,
Tirso OrnelasNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,2527,1932,0%,-/-,-,-,-,-,-,
"Cobb HightowerNANo new player Notes BAL - 2B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2303,1933,0%,-/-,-,-,-,-,-,
"Ronny CruzNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2394,1934,0%,-/-,-,-,-,-,-,
"Elijah GreenNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2387,1935,0%,-/-,-,-,-,-,-,
"Cristhian VaqueroNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2272,1936,0%,-/-,-,-,-,-,-,
"Marco LucianoNANo new player Notes NYY - 2B,SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,1997,1937,0%,-/-,-,-,-,-,-,
Ivan MelendezNANo new player Notes AZ - 1B 9:40 pm @ SD,@ SD,,FA,-,2234,1938,0%,-/-,-,-,-,-,-,
"Ruben SantanaNANo new player Notes STL - 1B,3B 7:40 pm @ MIL",@ MIL,,FA,-,2352,1939,0%,-/-,-,-,-,-,-,
"Orelvis MartinezNANo new player Notes WSH - 2B,3B Bot 2, 2-1 vs NYM",NYM,,FA,-,1998,1940,0%,-/-,-,-,-,-,-,
"Andrew PintarNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2198,1941,0%,-/-,-,-,-,-,-,
Carlos JimenezNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2475,1942,0%,-/-,-,-,-,-,-,
"Gabriel RodriguezNANo new player Notes CLE - 3B,SS Top 1, Delay @ KC",@ KC,,FA,-,2436,1943,0%,-/-,-,-,-,-,-,
Brendan TuninkNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2006,1944,0%,-/-,-,-,-,-,-,
"Jacob BerryNANo new player Notes KC - 2B,3B,OF Top 1, Delay vs CLE",CLE,,FA,-,2454,1945,0%,-/-,-,-,-,-,-,
"DJ LaytonNANo new player Notes BAL - 2B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2203,1946,0%,-/-,-,-,-,-,-,
Carlos RodríguezNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,2128,1947,0%,-/-,-,-,-,-,-,
"Caden PowellNANo new player Notes HOU - 3B,SS 9:40 pm @ ATH",@ ATH,,FA,-,2051,1948,0%,-/-,-,-,-,-,-,
Joseph SullivanNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2508,1949,0%,-/-,-,-,-,-,-,
"Marco VargasNANo new player Notes NYM - 2B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2322,1950,0%,-/-,-,-,-,-,-,
"Max WagnerNANo new player Notes BAL - 2B,3B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2507,1951,0%,-/-,-,-,-,-,-,
"Aron EstradaNANo new player Notes BAL - 2B,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2248,1952,0%,-/-,-,-,-,-,-,
"Braylin TaveraNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2159,1953,0%,-/-,-,-,-,-,-,
"Leandro AriasNANo new player Notes BAL - 2B,3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2434,1954,0%,-/-,-,-,-,-,-,
"Coco MontesNANo new player Notes TB - 2B,3B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2515,1955,0%,-/-,-,-,-,-,-,
"Axiel PlazNANo new player Notes PIT - C,1B Top 2, 0-0 @ DET",@ DET,,FA,-,2362,1956,0%,-/-,-,-,-,-,-,
"Tony Blanco Jr.NANo new player Notes PIT - 1B Top 2, 0-0 @ DET",@ DET,,FA,-,2055,1957,0%,-/-,-,-,-,-,-,
"Yordany De Los SantosNANo new player Notes PIT - 2B,3B,SS Top 2, 0-0 @ DET",@ DET,,FA,-,2308,1958,0%,-/-,-,-,-,-,-,
Brennan MiloneNANo new player Notes ATH - 1B 9:40 pm vs HOU,HOU,,FA,-,2113,1959,0%,-/-,-,-,-,-,-,
Carlos PachecoNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2406,1960,0%,-/-,-,-,-,-,-,
"Javi VazNANo new player Notes KC - 2B,OF Top 1, Delay vs CLE",CLE,,FA,-,2289,1961,0%,-/-,-,-,-,-,-,
Mason McCoyNANo new player Notes SD - SS 9:40 pm vs AZ,AZ,,FA,-,1980,1962,0%,-/-,-,-,-,-,-,
"Jesús MadeNANo new player Notes MIL - 2B,3B,SS 7:40 pm vs STL",STL,,The Eds,-,2121,1963,10%,-/-,-,-,-,-,-,
"Luis PeñaNANo new player Notes MIL - 2B,3B,SS 7:40 pm vs STL",STL,,FA,-,2230,1964,2%,-/-,-,-,-,-,-,
"Jorge QuintanaNANo new player Notes SD - 3B,SS 9:40 pm vs AZ",AZ,,FA,-,2375,1965,0%,-/-,-,-,-,-,-,
Joswa LugoNANo new player Notes LAA - SS 10:10 pm @ SEA,@ SEA,,FA,-,2301,1966,0%,-/-,-,-,-,-,-,
Hayden AlvarezNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,-,2498,1967,0%,-/-,-,-,-,-,-,
"Pascanel FerrerasNANo new player Notes HOU - 2B,3B,SS 9:40 pm @ ATH",@ ATH,,FA,-,2442,1968,0%,-/-,-,-,-,-,-,
"Jancel VillarroelNANo new player Notes SF - C,OF 10:15 pm vs LAD",LAD,,FA,-,2016,1969,0%,-/-,-,-,-,-,-,
"Jose PerdomoNANo new player Notes ATL - SS Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2382,1970,0%,-/-,-,-,-,-,-,
Rainiel RodriguezNANo new player Notes STL - C 7:40 pm @ MIL,@ MIL,,FA,-,2317,1971,2%,-/-,-,-,-,-,-,
Yairo PadillaNANo new player Notes STL - SS 7:40 pm @ MIL,@ MIL,,FA,-,2457,1972,0%,-/-,-,-,-,-,-,
Adriel RadneyNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2233,1973,0%,-/-,-,-,-,-,-,
Yassel SolerNANo new player Notes AZ - 3B 9:40 pm @ SD,@ SD,,FA,-,2027,1974,0%,-/-,-,-,-,-,-,
"Demetrio CrisantesNANo new player Notes AZ - 2B,3B 9:40 pm @ SD",@ SD,,FA,-,2286,1975,0%,-/-,-,-,-,-,-,
Alberto BarrigaNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,-,2088,1976,0%,-/-,-,-,-,-,-,
"Fernando CruzNANo new player Notes CHC - SS L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2444,1977,0%,-/-,-,-,-,-,-,
"Eli LovichNANo new player Notes CHC - OF L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2032,1978,0%,-/-,-,-,-,-,-,
"Stiven MartinezNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2200,1979,0%,-/-,-,-,-,-,-,
"Thomas SosaNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2452,1980,0%,-/-,-,-,-,-,-,
"Joshua LiranzoNANo new player Notes BAL - 1B,3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2238,1981,0%,-/-,-,-,-,-,-,
"Emilio SanchezNANo new player Notes BAL - 3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2504,1982,0%,-/-,-,-,-,-,-,
"Jordan SanchezNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2419,1983,0%,-/-,-,-,-,-,-,
"Nelly TaylorNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2417,1984,0%,-/-,-,-,-,-,-,
"Angel CepedaNANo new player Notes CHC - 2B,3B,SS L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2138,1985,0%,-/-,-,-,-,-,-,
"Robert AriasNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2099,1986,0%,-/-,-,-,-,-,-,
Ashly AndujarNANo new player Notes COL - SS 7:40 pm @ CWS,@ CWS,,FA,-,2484,1987,0%,-/-,-,-,-,-,-,
"Franyerber MontillaNANo new player Notes DET - 2B,SS Top 2, 0-0 vs PIT",PIT,,FA,-,2410,1988,0%,-/-,-,-,-,-,-,
"Nestor MirandaNANo new player Notes DET - Util Top 2, 0-0 vs PIT",PIT,,FA,-,2247,1989,0%,-/-,-,-,-,-,-,
"Yandel RicardoNANo new player Notes KC - SS Top 1, Delay vs CLE",CLE,,FA,-,2327,1990,0%,-/-,-,-,-,-,-,
"Ramon RamirezNANo new player Notes KC - C Top 1, Delay vs CLE",CLE,,FA,-,2385,1991,0%,-/-,-,-,-,-,-,
"Jhonayker UgarteNANo new player Notes KC - 3B,SS Top 1, Delay vs CLE",CLE,,FA,-,2396,1992,0%,-/-,-,-,-,-,-,
"Asbel GonzalezNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2253,1993,0%,-/-,-,-,-,-,-,
"Hyungchan UmNANo new player Notes KC - C Top 1, Delay vs CLE",CLE,,FA,-,2468,1994,0%,-/-,-,-,-,-,-,
Emil MoralesNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,2337,1995,1%,-/-,-,-,-,-,-,
Eduardo QuinteroNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2184,1996,1%,-/-,-,-,-,-,-,
Ching-Hsien KoNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2033,1997,0%,-/-,-,-,-,-,-,
"Luis CovaNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2428,1998,0%,-/-,-,-,-,-,-,
Eduardo BeltreNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,-,2165,1999,0%,-/-,-,-,-,-,-,
"Dameury PenaNANo new player Notes TOR - 2B,OF Top 2, 2-0 vs CIN",CIN,,FA,-,2274,2000,0%,-/-,-,-,-,-,-,
"Daiverson GutierrezNANo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2028,2001,0%,-/-,-,-,-,-,-,
"Edward LantiguaNANo new player Notes NYM - 2B,3B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2405,2002,0%,-/-,-,-,-,-,-,
"Yovanny RodriguezNANo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2189,2003,0%,-/-,-,-,-,-,-,
"Francisco VilorioNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2052,2004,0%,-/-,-,-,-,-,-,
"Edgleen PerezNANo new player Notes PIT - C Top 2, 0-0 @ DET",@ DET,,FA,-,2416,2005,0%,-/-,-,-,-,-,-,
Ryan FitzgeraldNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,1913,2006,0%,-/-,-,-,-,-,-,
"Engelth UrenaNANo new player Notes NYY - C L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2311,2007,0%,-/-,-,-,-,-,-,
"Aroon EscobarNANo new player Notes PHI - 2B,3B Bot 3, 0-2 vs TB",TB,,FA,-,2150,2008,0%,-/-,-,-,-,-,-,
"Alirio FerrebusNANo new player Notes PHI - C,1B Bot 3, 0-2 vs TB",TB,,FA,-,2284,2009,0%,-/-,-,-,-,-,-,
"Edward FlorentinoNANo new player Notes PIT - 1B,OF Top 2, 0-0 @ DET",@ DET,,FA,-,2466,2010,1%,-/-,-,-,-,-,-,
Romeo SanabriaNANo new player Notes SD - 1B 9:40 pm vs AZ,AZ,,FA,-,2173,2011,0%,-/-,-,-,-,-,-,
Jhonny LevelNANo new player Notes SF - SS 10:15 pm vs LAD,LAD,,FA,-,2400,2012,0%,-/-,-,-,-,-,-,
Yohendry SanchezNANo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,-,2424,2013,0%,-/-,-,-,-,-,-,
Jose OrtizNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2093,2014,0%,-/-,-,-,-,-,-,
Oliver TejadaNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2491,2015,0%,-/-,-,-,-,-,-,
"Dawel JosephNANo new player Notes SEA - 3B,SS 10:10 pm vs LAA",LAA,,FA,-,2338,2016,0%,-/-,-,-,-,-,-,
Paulino SantanaNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,2193,2017,0%,-/-,-,-,-,-,-,
"Yolfran CastilloNANo new player Notes TEX - 3B,SS 8:10 pm @ MIN",@ MIN,,FA,-,2008,2018,0%,-/-,-,-,-,-,-,
Braylin MorelNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,2050,2019,0%,-/-,-,-,-,-,-,
"Yeremy CabreraNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2409,2020,0%,-/-,-,-,-,-,-,
"Victor HurtadoNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2266,2021,0%,-/-,-,-,-,-,-,
"Angel FelizNANo new player Notes WSH - 2B,SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2258,2022,0%,-/-,-,-,-,-,-,
Korey LeeNANo new player Notes CWS - C 7:40 pm vs COL,COL,,FA,-,1938,2023,0%,-/-,-,-,-,-,-,
"Adolfo SanchezNANo new player Notes CIN - OF Top 2, 0-2 @ TOR",@ TOR,,FA,-,2331,2024,0%,-/-,-,-,-,-,-,
"Naibel MarianoNANo new player Notes CIN - 3B,SS Top 2, 0-2 @ TOR",@ TOR,,FA,-,2062,2025,0%,-/-,-,-,-,-,-,
"Eli Serrano IIINANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2039,2026,0%,-/-,-,-,-,-,-,
James Tibbs IIINANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,Detroit Fastballs,-,2270,2027,4%,-/-,-,-,-,-,-,
Shotaro MoriiNANo new player Notes ATH - SS 9:40 pm vs HOU,HOU,,FA,-,2296,2028,0%,-/-,-,-,-,-,-,
Josuar GonzalezNANo new player Notes SF - SS 10:15 pm vs LAD,LAD,,FA,-,2139,2029,1%,-/-,-,-,-,-,-,
"Logan DavidsonNANo new player Notes TB - 1B,3B Bot 3, 2-0 @ PHI",@ PHI,,FA,-,1988,2030,0%,-/-,-,-,-,-,-,
"Arnoldo LantiguaNANo new player Notes CIN - OF Top 2, 0-2 @ TOR",@ TOR,,FA,-,2263,2031,0%,-/-,-,-,-,-,-,
Edgar MonteroNANo new player Notes ATH - SS 9:40 pm vs HOU,HOU,,FA,-,2273,2032,0%,-/-,-,-,-,-,-,
"Maximo AcostaNANo new player Notes MIA - SS Bot 1, 0-0 vs ATL",ATL,,FA,-,1942,2033,0%,-/-,-,-,-,-,-,
"Alex RamírezNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2489,2034,0%,-/-,-,-,-,-,-,
"Kevin HidalgoNANo new player Notes COL - 3B,SS 7:40 pm @ CWS",@ CWS,,FA,-,2059,2035,0%,-/-,-,-,-,-,-,
Andy PerezNANo new player Notes COL - SS 7:40 pm @ CWS,@ CWS,,FA,-,2344,2036,0%,-/-,-,-,-,-,-,
"Mani CedenoNANo new player Notes NYY - SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2004,2037,0%,-/-,-,-,-,-,-,
"Robert Hassell IIINANo new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,-,1881,2038,0%,-/-,-,-,-,-,-,
"Riley AdamsNANo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,-,1895,2039,0%,-/-,-,-,-,-,-,
Brayan BuelvasNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2116,2040,0%,-/-,-,-,-,-,-,
"John GilNANo new player Notes ATL - SS Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2094,2041,0%,-/-,-,-,-,-,-,
"Chris SueroNANo new player Notes NYM - C,1B,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2179,2042,0%,-/-,-,-,-,-,-,
Willie MacIverNANo new player Notes SEA - C 10:10 pm vs LAA,LAA,,FA,-,1952,2043,0%,-/-,-,-,-,-,-,
Braedon KarpathiosNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,2030,2044,0%,-/-,-,-,-,-,-,
"Brendan JonesNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2267,2045,0%,-/-,-,-,-,-,-,
"Jordan WestburgIL60No new player Notes BAL - 2B,3B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Joe Byron,-,1756,2046,8%,-/-,-,-,-,-,-,
"Will BushNANo new player Notes HOU - C,1B 9:40 pm @ ATH",@ ATH,,FA,-,2458,2047,0%,-/-,-,-,-,-,-,
Tyler FitzgeraldNANo new player Notes SF - 2B 10:15 pm vs LAD,LAD,,FA,-,1877,2048,0%,-/-,-,-,-,-,-,
Josh AdamczewskiNANo new player Notes MIL - 2B 7:40 pm vs STL,STL,,FA,-,2439,2049,0%,-/-,-,-,-,-,-,
"Pedro LeónNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2512,2050,0%,-/-,-,-,-,-,-,
"Diego TornesNANo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2168,2051,0%,-/-,-,-,-,-,-,
"Justin GonzalesNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2271,2052,0%,-/-,-,-,-,-,-,
"Dorian SotoNANo new player Notes BOS - SS W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2145,2053,0%,-/-,-,-,-,-,-,
"Wilfri De La CruzNANo new player Notes BAL - SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2122,2054,0%,-/-,-,-,-,-,-,
"Juan CabadaNANo new player Notes CHC - 2B,3B L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2480,2055,0%,-/-,-,-,-,-,-,
"Javier MogollonNANo new player Notes CWS - 2B,SS 7:40 pm vs COL",COL,,FA,-,2196,2056,0%,-/-,-,-,-,-,-,
"Juneiker CaceresNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2365,2057,0%,-/-,-,-,-,-,-,
